ARK: Genesis Season Pass," 8 Aug, 2019",4578,"Adventure, Massively Multiplayer, Survival, Action, RPG, Open World, Indie, Dinosaurs, Multiplayer, Crafting, Base Building, Violent, Singleplayer, Sandbox, Building, Sci-fi, Open World Survival Craft, Co-op, Dragons, First-Person"
ASTRONEER," 5 Feb, 2019",77683,"Multiplayer, Open World, Open World Survival Craft, Space, Survival, Exploration, Base Building, Co-op, Sandbox, Adventure, Building, Crafting, Sci-fi, Colorful, Singleplayer, Simulation, Third Person, Automation, Atmospheric, Indie"
Five Nights at Freddy's: Security Breach," 16 Dec, 2021",32064,"Horror, Survival Horror, Singleplayer, Robots, Stealth, Exploration, Multiple Endings, First-Person, 3D, Action, Indie, Adventure, Artificial Intelligence, Story Rich, Thriller, Action-Adventure, Colorful, Family Friendly, Cartoony, Sexual Content"
Deliver Us Mars, Coming Soon,,"Mars, Story Rich, Sci-fi, Singleplayer, Puzzle Platformer, Realistic, Action-Adventure, Female Protagonist, Space, Cinematic, Robots, Platformer, Action, Third Person, First-Person, Atmospheric, Post-apocalyptic, Linear, Thriller, Emotional"
RimWorld - Ideology," 20 Jul, 2021",2338,"Strategy, Indie, Simulation, Colony Sim, Base Building, Survival"
Rooted, TBA - Wishlist & Follow !,,"Simulation, Survival, Adventure, Exploration, Post-apocalyptic, Realistic, America, Strategy, Action-Adventure, Sandbox, City Builder, Resource Management, Online Co-Op, Immersive Sim, Shooter, Nature, First-Person, 3D, Third Person, Hunting"
Scrap Mechanic," 19 Jan, 2016",76778,"Building, Sandbox, Survival, Open World, Multiplayer, Crafting, Physics, Base Building, Co-op, Singleplayer, First-Person, Third Person, Adventure, Funny, Simulation, Early Access, Action, Indie, Moddable, Online Co-Op"
Albion Online," 16 May, 2018",46523,"Free to Play, MMORPG, Open World, Massively Multiplayer, Sandbox, RPG, Crafting, Multiplayer, PvP, Survival, PvE, Loot, Medieval, Economy, Fantasy, Co-op, Strategy, Action, Singleplayer, Difficult"
Settlement Survival," 11 Oct, 2021",2971,"City Builder, Building, Management, Survival, Colony Sim, Simulation, Sandbox, Exploration, Indie, Early Access, Strategy, Resource Management, Base Building, Agriculture, Economy, Medieval, 3D, Colorful, Pixel Graphics, Hand-drawn"
Dune: Spice Wars," 26 Apr, 2022",,"Diplomacy, Economy, Political, Building, Base Building, War, RTS, Tactical, 4X, Early Access, Real-Time with Pause, Real Time Tactics, Strategy, Resource Management, Grand Strategy, Politics, Combat, Military, Exploration, Lore-Rich"
Projekt Z, TBA,,"Zombies, FPS, Co-op Campaign, Co-op, Online Co-Op, Action, Hero Shooter, Atmospheric, Horror, World War II, Indie, Post-apocalyptic, Crafting, Adventure, Realistic, Strategy, PvE, First-Person, Inventory Management, Team-Based"
Sengoku Dynasty, 2022,,"Adventure, RPG, Simulation, Life Sim, Exploration, 3D, First-Person, Atmospheric, Crafting, Historical, Open World, Story Rich, Co-op, Multiplayer, Online Co-Op, Singleplayer, Colony Sim, Sandbox, Ninja, Building"
Marauders, Coming Soon,,"Action, FPS, Tactical, Space Sim, 1990's, Alternate History, Shooter, Looter Shooter, Combat, Space, First-Person, Inventory Management, Realistic, Military, Atmospheric, Crafting, Post-apocalyptic, Loot, PvP, Gun Customization"
World War Z: Aftermath," 21 Sep, 2021",5515,"Zombies, Action, Online Co-Op, Multiplayer, Co-op, Shooter, Singleplayer, Third-Person Shooter, PvE, FPS, Character Customization, Gun Customization, Post-apocalyptic, Survival Horror, First-Person, Gore, Third Person, Combat, Violent, Class-Based"
Northgard," 7 Mar, 2018",33632,"City Builder, RTS, Strategy, Colony Sim, Resource Management, Multiplayer, Medieval, Survival, Real-Time, Simulation, Mythology, Indie, War, Co-op, Singleplayer, Management, 4X, Vikings, Atmospheric, Adventure"
ICARUS," 3 Dec, 2021",19363,"Survival, Open World Survival Craft, Online Co-Op, Multiplayer, Crafting, Base Building, Exploration, Building, Open World, Co-op, First-Person, PvE, Space, Mining, Realistic, Third Person, Sandbox, Adventure, Nature, Science"
The Surge 2," 23 Sep, 2019",4541,"Souls-like, RPG, Action, Violent, Open World, Difficult, Sci-fi, Singleplayer, Third Person, Cyberpunk, Character Customization, Multiplayer, Gore, Mechs, Hack and Slash, Action RPG, Female Protagonist, Robots, Metroidvania, Nudity"
Forever Skies, Coming 2022. Wishlist and Follow!,,"Early Access, Survival, Adventure, Base Building, Sandbox, Exploration, Post-apocalyptic, FPS, Realistic, Action, Sci-fi, Action-Adventure, Open World Survival Craft, Inventory Management, Crafting, Procedural Generation, Science, Resource Management, 3D, First-Person"
Oxygen Not Included," 30 Jul, 2019",76938,"Colony Sim, Base Building, Survival, Resource Management, Building, Singleplayer, Management, Simulation, 2D, Sandbox, Strategy, Space, Indie, Sci-fi, Exploration, Open World, Difficult, Adventure, Early Access, Multiplayer"
